Site,Year,Latitude,Longitude,Address,City,State
Lippit Mill,1809,41.71994,-71.527222,825 Main Street,West Warwick,RI
Allendale Mill,1822,41.850364,-71.480833,494 Woonasquatucket Avenue,North Providence,RI
Pocasset Worsted Company Mill,1897,41.797222,-71.476111,75 Pocasset Street,Woonsocket,RI
Ashton Mill Village,1867,41.938078,-71.432407,51 Front Street,Cumberland,RI
Berkeley Mill Village,1872,41.927208,-71.42583,30 Martin Street,Cumberland,RI
Dyerville Mill,1835,41.826389,-71.461667,610 Manton Ave,Providence,RI
Royal Mill Complex,1890,41.713832,-71.516561,125 Providence Street,West Warwick,RI
Georgiaville Cotton Mill,1853,41.886944,-71.508333,22 Higgins Street,Smithfield,RI
Greenwich Mills,1836,41.664916,-71.447004,42 Ladd Street,East Greenwich,RI
Greystone Mill,1904,41.86529,-71.490767,Greystone Avenue,North Providence,RI
Hope Webbing Company Mill,1889,41.862778,-71.401111,1005 Main Street,Pawtucket,RI
Oriental Mills,1860,41.839722,-71.419444,Whipple Street,Providence,RI
Pontiac Mills,1863,41.726889,-71.470361,334 Knight Street,Warwick,RI
Providence Dyeing + Bleaching + Calendring Company,1837,41.818611,-71.441944,60 Valley Street,Providence,RI
Shady Lea Mill,1820,41.534622,-71.463921,215 Shady Lea Road,North Kingston,RI
Slater Mill,1793,41.8775,-71.3825,67 Roosevelt Avenue,Pawtucket,RI
Wanskuck Mill,1811,41.854059,-71.428882,745 Branch Avenue,Providence,RI